Date,TSI_13_25_13
2019-09-03,-25.872758990070086
2019-09-04,-25.389681415293065
2019-09-05,-25.263807058218084
2019-09-06,-25.83558961772188
2019-09-07,-24.05791771095047
2019-09-08,-21.779290144761884
2019-09-09,-19.947217088206997
2019-09-10,-18.676431673126693
2019-09-11,-17.81702535590741
2019-09-12,-16.441366321346095
2019-09-13,-15.252382478131528
2019-09-14,-12.18640114744139
2019-09-15,-9.14759838676283
2019-09-16,-4.5271501041526605
2019-09-17,2.297746204542577
2019-09-18,8.331152089847956
2019-09-19,15.330618197415173
2019-09-20,19.75701108772125
2019-09-21,22.43419027687449
2019-09-22,23.30882967537216
2019-09-23,21.03610981884281
2019-09-24,10.022367629028121
2019-09-25,2.9712953286616215
2019-09-26,-2.989516167224846
2019-09-27,-5.7073588843182135
2019-09-28,-7.771582697735924
2019-09-29,-10.093254057258969
2019-09-30,-9.89911137728601
2019-10-01,-10.184915710729609
2019-10-02,-9.699815525316598
2019-10-03,-10.26756140973893
2019-10-04,-10.340971265950273
2019-10-05,-10.511703084553952
2019-10-06,-11.238678476530739
2019-10-07,-10.01125313461041
2019-10-08,-8.827364835325051
2019-10-09,-5.363623811510996
2019-10-10,-2.9156692205001518
2019-10-11,-2.783907722668629
2019-10-12,-3.03081600332857
2019-10-13,-2.959476938244725
2019-10-14,-1.8304002384116111
2019-10-15,-2.089933604541737
2019-10-16,-3.439343415202111
2019-10-17,-4.070563242699231
2019-10-18,-5.515471895593421
2019-10-19,-6.842615245980476
2019-10-20,-7.290361246754678
2019-10-21,-7.794960598970672
2019-10-22,-8.798895866840072
2019-10-23,-11.817939055482036
2019-10-24,-14.316759940616615
2019-10-25,-10.929829737942306
2019-10-26,-8.700718529855372
2019-10-27,-5.8354796791278565
2019-10-28,-3.938883923453251
2019-10-29,-0.5659840744156786
2019-10-30,0.7505704221446841
2019-10-31,1.616309685416753
2019-11-01,2.3137434984257768
2019-11-02,2.8746473036873637
2019-11-03,2.954821977657899
2019-11-04,3.9936156609615745
2019-11-05,5.5884825979036235
2019-11-06,7.4813248708129425
2019-11-07,7.987220413767987
2019-11-08,7.280708652158556
2019-11-09,6.9135458823198945
2019-11-10,7.79805825269165
2019-11-11,7.2712908598400166
2019-11-12,7.212406541738418
2019-11-13,7.5596761629969365
2019-11-14,7.09854068375134
2019-11-15,4.896762745969504
2019-11-16,3.9616435605466567
2019-11-17,3.7454042132714647
2019-11-18,2.049605448917212
2019-11-19,-0.3383863777150296
2019-11-20,-2.8363251714497144
2019-11-21,-9.19415963798472
2019-11-22,-16.982210240804218
2019-11-23,-21.600570968691624
2019-11-24,-27.32816295354712
2019-11-25,-30.253908015585413
2019-11-26,-31.578720949148806
2019-11-27,-31.187294073517357
2019-11-28,-31.11714570081051
2019-11-29,-29.83436320626303
2019-11-30,-29.32755841514698
2019-12-01,-29.174773010345714
2019-12-02,-29.453673080228366
2019-12-03,-29.892857836889483
2019-12-04,-30.49051424415684
2019-12-05,-30.056433753570396
2019-12-06,-29.706089621100446
2019-12-07,-29.501732427273353
2019-12-08,-28.319206792540303
2019-12-09,-28.02714467865293
2019-12-10,-28.247778944229058
2019-12-11,-29.07505462771432
2019-12-12,-28.871348421698066
2019-12-13,-28.86822779219647
2019-12-14,-29.404059870825474
2019-12-15,-29.733659594932277
2019-12-16,-32.51821504842476
2019-12-17,-37.37687153289613
2019-12-18,-35.9124444273235
2019-12-19,-35.66109068551684
2019-12-20,-35.527552527292585
2019-12-21,-35.621118112473674
2019-12-22,-33.83753542457491
2019-12-23,-33.24624508187403
2019-12-24,-32.58831698261133
2019-12-25,-32.63112690555349
2019-12-26,-32.686294945244036
2019-12-27,-32.35301959612997
2019-12-28,-31.575489033090662
2019-12-29,-28.019034121110213
2019-12-30,-25.686825412273635
2019-12-31,-24.596525314049412
2020-01-01,-23.185744451534173
2020-01-02,-22.980534065989232
2020-01-03,-19.841798600601
2020-01-04,-16.97730089962696
2020-01-05,-14.169627167538788
2020-01-06,-8.66361173265574
2020-01-07,-4.602249294433946
2020-01-08,-2.1644303899588317
2020-01-09,-1.0264791364338854
2020-01-10,1.690111146447317
2020-01-11,3.4616226231540277
2020-01-12,5.910280053590952
2020-01-13,7.232400450624506
2020-01-14,15.184105286488188
2020-01-15,20.9789014831855
2020-01-16,24.580188775664954
2020-01-17,28.819375492629383
2020-01-18,33.015193536913664
2020-01-19,32.8067813460369
2020-01-20,32.67957738501894
2020-01-21,33.08801581956156
2020-01-22,32.86294461781763
2020-01-23,30.61269728253728
2020-01-24,28.85291943960677
2020-01-25,26.760124760819487
2020-01-26,26.558929223293074
2020-01-27,27.021695877876752
2020-01-28,28.562638844705706
2020-01-29,29.278959556519162
2020-01-30,31.8397519119209
2020-01-31,32.08306963954677
2020-02-01,32.9554508404371
2020-02-02,34.57217198329963
2020-02-03,36.06807421666272
2020-02-04,37.02178129305004
2020-02-05,40.39529936054674
2020-02-06,44.2286859564873
2020-02-07,48.560838148088145
2020-02-08,51.84077649375029
2020-02-09,54.987453301775865
2020-02-10,55.46547378858602
2020-02-11,57.13258309058213
2020-02-12,61.09291088452413
2020-02-13,64.04734421101477
2020-02-14,67.2573956641445
2020-02-15,63.557061854385
2020-02-16,59.60771259550644
2020-02-17,57.18783787478192
2020-02-18,56.4847755431838
2020-02-19,50.780651162348676
2020-02-20,46.266850426682296
2020-02-21,43.48823215846939
2020-02-22,40.727195829269554
2020-02-23,39.53356891655426
2020-02-24,37.0097655348827
2020-02-25,31.940073853503087
2020-02-26,24.43668156446734
2020-02-27,18.907162475841258
2020-02-28,14.621537072987362
2020-02-29,10.25180832162049
2020-03-01,6.637178978438547
2020-03-02,5.105979082507579
2020-03-03,3.0654618016998203
2020-03-04,1.4178681612897848
2020-03-05,0.6859575166050843
2020-03-06,1.9720595913585761
2020-03-07,2.2308509508884145
2020-03-08,-2.500585093595881
2020-03-09,-5.904882754211638
2020-03-10,-8.698606352465413
2020-03-11,-11.59574062485655
2020-03-12,-22.224011337887966
2020-03-13,-26.584406618568078
2020-03-14,-30.340972929268748
2020-03-15,-32.80764697612361
2020-03-16,-35.57857045190798
2020-03-17,-37.24770907207109
2020-03-18,-38.42970709133218
2020-03-19,-36.547950379433935
2020-03-20,-35.30464062861899
2020-03-21,-34.301788670115236
2020-03-22,-34.08461575957183
2020-03-23,-32.42218137059229
2020-03-24,-30.583094369986352
2020-03-25,-29.25472643943029
2020-03-26,-27.87180862444131
2020-03-27,-27.052140692703333
2020-03-28,-26.59700930698565
2020-03-29,-26.65346300137512
2020-03-30,-25.647203293826895
2020-03-31,-24.700715862437253
2020-04-01,-23.5900215761909
2020-04-02,-21.657822762961626
2020-04-03,-20.009105844380038
2020-04-04,-18.094636391118005
2020-04-05,-16.650386880590712
2020-04-06,-11.216893792676693
2020-04-07,-7.352218346147406
2020-04-08,-3.060521167547018
2020-04-09,0.15833432778369314
2020-04-10,0.9236328182351821
2020-04-11,1.5117540384171153
2020-04-12,2.4336675891303834
2020-04-13,2.4149391997223835
2020-04-14,2.6045321705589526
2020-04-15,2.0393598062238745
2020-04-16,4.59990329532406
2020-04-17,6.553989160855642
2020-04-18,10.44183132244339
2020-04-19,12.533348235670553
2020-04-20,12.47184615136258
2020-04-21,12.486120601706846
2020-04-22,13.903284452034
2020-04-23,15.373299029302846
2020-04-24,17.143504655025684
2020-04-25,19.435389577533034
2020-04-26,21.53505562975619
2020-04-27,23.239183160518014
2020-04-28,24.81886367640018
2020-04-29,28.582597924748743
2020-04-30,29.414720959078714
2020-05-01,30.887190943587942
2020-05-02,32.18703990005279
2020-05-03,32.19473999219257
2020-05-04,31.54405955301532
2020-05-05,30.67598075530806
2020-05-06,29.296994744956205
2020-05-07,29.272671288178987
2020-05-08,29.348767148771998
2020-05-09,29.055380010393268
2020-05-10,23.032950213178786
2020-05-11,17.726842365576815
2020-05-12,14.097444868776773
2020-05-13,12.881680083799809
2020-05-14,12.557368790980927
2020-05-15,10.731386017153758
2020-05-16,10.155722762270516
2020-05-17,10.8058166919384
2020-05-18,12.552436406100947
2020-05-19,13.704001727142753
2020-05-20,13.899510738619831
2020-05-21,11.841523034619875
2020-05-22,11.440431355014802
2020-05-23,11.380106272367435
2020-05-24,9.987847999570722
2020-05-25,9.385538437236631
2020-05-26,8.174164383189597
2020-05-27,8.449090231504385
2020-05-28,10.618711452677093
2020-05-29,12.479003791255273
2020-05-30,17.520718001280883
2020-05-31,18.823391042837496
2020-06-01,22.076124973960535
2020-06-02,22.42451559588649
2020-06-03,23.572463136201957
2020-06-04,24.47358612964183
