Date,S&P_Close,S&P_Daily_Ret,DJI_Close,DJI_Daily_Ret,NDX_Close,NDX_Daily_Ret,ETH_Close,ETH_Daily_Ret,BTC_Close,BTC_Daily_Ret
2018-09-21,2929.67,-0.0,26743.5,0.0,7531.07,-0.01,246.58,0.1,6734.95,0.03
2018-09-22,2929.67,0.0,26743.5,0.0,7531.07,0.0,240.48,-0.02,6721.98,-0.0
2018-09-23,2929.67,0.0,26743.5,0.0,7531.07,0.0,244.33,0.02,6710.63,-0.0
2018-09-24,2919.37,-0.0,26562.05,-0.01,7548.75,0.0,228.73,-0.06,6595.41,-0.02
2018-09-25,2915.56,-0.0,26492.21,-0.0,7563.19,0.0,218.51,-0.04,6446.47,-0.02
2018-09-26,2905.97,-0.0,26385.28,-0.0,7563.09,-0.0,215.85,-0.01,6495.0,0.01
2018-09-27,2914.0,0.0,26439.93,0.0,7629.57,0.01,228.49,0.06,6676.75,0.03
2018-09-28,2913.98,-0.0,26458.31,0.0,7627.65,-0.0,222.4,-0.03,6644.13,-0.0
2018-09-29,2913.98,0.0,26458.31,0.0,7627.65,0.0,231.63,0.04,6601.96,-0.01
2018-09-30,2913.98,0.0,26458.31,0.0,7627.65,0.0,232.85,0.01,6625.56,0.0
2018-10-01,2924.59,0.0,26651.21,0.01,7645.45,0.0,230.77,-0.01,6589.62,-0.01
2018-10-02,2923.43,-0.0,26773.94,0.0,7628.28,-0.0,227.18,-0.02,6556.1,-0.01
2018-10-03,2925.51,0.0,26828.39,0.0,7637.43,0.0,220.49,-0.03,6502.59,-0.01
2018-10-04,2901.61,-0.01,26627.48,-0.01,7490.0,-0.02,222.22,0.01,6576.69,0.01
2018-10-05,2885.57,-0.01,26447.05,-0.01,7399.01,-0.01,227.6,0.02,6622.48,0.01
2018-10-06,2885.57,0.0,26447.05,0.0,7399.01,0.0,225.12,-0.01,6588.31,-0.01
2018-10-07,2885.57,0.0,26447.05,0.0,7399.01,0.0,226.12,0.0,6602.95,0.0
2018-10-08,2884.43,-0.0,26486.78,0.0,7352.82,-0.01,229.26,0.01,6652.23,0.01
2018-10-09,2880.34,-0.0,26430.57,-0.0,7371.62,0.0,227.98,-0.01,6642.64,-0.0
2018-10-10,2785.68,-0.03,25598.74,-0.03,7044.5,-0.04,225.77,-0.01,6585.53,-0.01
2018-10-11,2728.37,-0.02,25052.83,-0.02,6964.03,-0.01,189.5,-0.16,6256.24,-0.05
2018-10-12,2767.13,0.01,25339.99,0.01,7157.21,0.03,196.73,0.04,6274.58,0.0
2018-10-13,2767.13,0.0,25339.99,0.0,7157.21,0.0,199.84,0.02,6285.99,0.0
2018-10-14,2767.13,0.0,25339.99,0.0,7157.21,0.0,195.71,-0.02,6290.93,0.0
2018-10-15,2750.79,-0.01,25250.55,-0.0,7068.67,-0.01,209.7,0.07,6596.54,0.05
2018-10-16,2809.92,0.02,25798.42,0.02,7276.43,0.03,210.12,0.0,6596.11,-0.0
2018-10-17,2809.21,-0.0,25706.68,-0.0,7278.63,0.0,207.08,-0.01,6544.43,-0.01
2018-10-18,2768.78,-0.01,25379.45,-0.01,7116.09,-0.02,203.35,-0.02,6476.71,-0.01
2018-10-19,2767.78,-0.0,25444.34,0.0,7107.23,-0.0,203.73,0.0,6465.41,-0.0
2018-10-20,2767.78,0.0,25444.34,0.0,7107.23,0.0,205.43,0.01,6489.19,0.0
2018-10-21,2767.78,0.0,25444.34,0.0,7107.23,0.0,205.14,-0.0,6482.35,-0.0
2018-10-22,2755.88,-0.0,25317.41,-0.0,7141.21,0.0,204.04,-0.01,6487.16,0.0
2018-10-23,2740.69,-0.01,25191.43,-0.0,7118.67,-0.0,204.34,0.0,6475.74,-0.0
2018-10-24,2656.1,-0.03,24583.42,-0.02,6789.15,-0.05,203.85,-0.0,6495.84,0.0
2018-10-25,2705.57,0.02,24984.55,0.02,7016.39,0.03,202.72,-0.01,6476.29,-0.0
2018-10-26,2658.69,-0.02,24688.31,-0.01,6852.4,-0.02,203.33,0.0,6474.75,-0.0
2018-10-27,2658.69,0.0,24688.31,0.0,6852.4,0.0,204.21,0.0,6480.38,0.0
2018-10-28,2658.69,0.0,24688.31,0.0,6852.4,0.0,205.37,0.01,6486.39,0.0
2018-10-29,2641.25,-0.01,24442.92,-0.01,6713.9,-0.02,197.25,-0.04,6332.63,-0.02
2018-10-30,2682.63,0.02,24874.64,0.02,6810.12,0.01,197.56,0.0,6334.27,0.0
2018-10-31,2711.74,0.01,25115.76,0.01,6967.1,0.02,197.38,-0.0,6317.61,-0.0
2018-11-01,2740.37,0.01,25380.74,0.01,7069.17,0.01,198.87,0.01,6377.78,0.01
2018-11-02,2723.06,-0.01,25270.83,-0.0,6965.29,-0.01,200.63,0.01,6388.44,0.0
2018-11-03,2723.06,0.0,25270.83,0.0,6965.29,0.0,200.19,-0.0,6361.26,-0.0
2018-11-04,2723.06,0.0,25270.83,0.0,6965.29,0.0,207.49,0.04,6376.13,0.0
2018-11-05,2738.31,0.01,25461.7,0.01,6937.09,-0.0,209.09,0.01,6419.66,0.01
2018-11-06,2755.45,0.01,25635.01,0.01,6988.85,0.01,218.45,0.04,6461.01,0.01
2018-11-07,2813.89,0.02,26180.3,0.02,7203.13,0.03,217.18,-0.01,6530.14,0.01
2018-11-08,2806.83,-0.0,26191.22,0.0,7158.59,-0.01,212.23,-0.02,6453.72,-0.01
2018-11-09,2781.01,-0.01,25989.3,-0.01,7039.15,-0.02,210.07,-0.01,6385.62,-0.01
2018-11-10,2781.01,0.0,25989.3,0.0,7039.15,0.0,212.53,0.01,6409.22,0.0
2018-11-11,2781.01,0.0,25989.3,0.0,7039.15,0.0,211.34,-0.01,6411.27,0.0
2018-11-12,2726.22,-0.02,25387.18,-0.02,6829.1,-0.03,210.42,-0.0,6371.27,-0.01
