time,TSI_13_25_13,TSIs_13_25_13
2014-03-13,-3.347716681670057,-10.577479628334869
2014-03-14,-3.32644994859096,-9.54161824551431
2014-03-15,-2.894126837451533,-8.591976615791058
2014-03-16,-2.634892688080766,-7.74096462611816
2014-03-17,-3.0172972406399174,-7.0661549996212685
2014-03-18,-3.798497914577,-6.599346844614945
2014-03-19,-4.672251986241484,-6.324047579133023
2014-03-20,-6.764072122947919,-6.386908228249436
2014-03-21,-9.461197482311638,-6.82609240740118
2014-03-22,-11.98342720482041,-7.562854521318213
2014-03-23,-14.416397739247241,-8.541932123879503
2014-03-24,-14.48145680636875,-9.390435649949396
2014-03-25,-14.606909109019295,-10.135646144102239
2014-03-26,-14.977980019781398,-10.82740812634212
2014-03-27,-20.721882374552017,-12.24090444751496
2014-03-28,-23.79786542847753,-13.891898873366756
2014-03-29,-26.58839715138835,-15.705684341655555
2014-03-30,-30.13765081291468,-17.767393837549715
2014-03-31,-33.03254538247986,-19.948129772539737
2014-04-01,-33.33549071052906,-21.860609906538212
2014-04-02,-35.18939254746898,-23.764721712385466
2014-04-03,-35.762509777375904,-25.478691435955533
2014-04-04,-36.18887007024317,-27.008716955139484
2014-04-05,-35.54289982543738,-28.227885936610612
2014-04-06,-35.142464374264584,-29.215682856275468
2014-04-07,-35.21964564530925,-30.07339182613744
2014-04-08,-34.92595936641927,-30.766615760463417
2014-04-09,-35.10530295984305,-31.386428217517654
2014-04-10,-38.387090074850626,-32.38652276856523
2014-04-11,-36.16694515822442,-32.92658310994511
2014-04-12,-34.323028739540405,-33.12607534274444
2014-04-13,-33.217176178423124,-33.139089747841396
2014-04-14,-28.91240523126427,-32.535277674044664
2014-04-15,-21.377774980343816,-30.941348717801688
2014-04-16,-15.157087888134276,-28.68645431356349
2014-04-17,-11.905288685094183,-26.289144938067878
2014-04-18,-10.212959714608886,-23.992547049002308
2014-04-19,-7.714289342414876,-21.667081662346963
2014-04-20,-5.900963127499332,-19.414779014511588
2014-04-21,-4.625371617342843,-17.30200652920177
2014-04-22,-4.021307601005859,-15.404763825173783
2014-04-23,-3.4643843921404383,-13.698995334740449
2014-04-24,-2.2929125853582004,-12.069554941971557
2014-04-25,-3.3119980479388405,-10.81847538568117
2014-04-26,-4.522259679789959,-9.919015999125284
2014-04-27,-6.60196208821931,-9.445151154710144
2014-04-28,-8.121609501984878,-9.256073775749392
2014-04-29,-8.983722710624983,-9.21716648073162
2014-04-30,-9.624616160771412,-9.275373577880163
2014-05-01,-9.394940814161682,-9.292454611634668
2014-05-02,-9.660359166041035,-9.345012405121292
2014-05-03,-10.662182788853464,-9.533179602797317
2014-05-04,-11.638707505894434,-9.833969303239762
2014-05-05,-12.728022937097277,-10.247405536647978
2014-05-06,-13.791114440171897,-10.753649665722824
2014-05-07,-13.67235290553004,-11.170607271409569
2014-05-08,-13.690215405281142,-11.530551290534081
2014-05-09,-12.592872169163757,-11.682311416052608
2014-05-10,-11.290492936238525,-11.62633734750774
2014-05-11,-11.51815615289687,-11.610882891134759
2014-05-12,-11.498455043447523,-11.594821770036582
2014-05-13,-11.662241229983023,-11.604453121457503
2014-05-14,-11.196952859149093,-11.546238798270588
2014-05-15,-10.577572930402836,-11.407857960003767
2014-05-16,-9.853386916077106,-11.185790668014246
2014-05-17,-9.176910760824722,-10.898807824130028
2014-05-18,-8.816240272599943,-10.601298173911445
2014-05-19,-8.448723517124526,-10.293787508656171
2014-05-20,-2.835593187699658,-9.228331177090956
2014-05-21,2.0642420072278225,-7.615106436473988
2014-05-22,9.510343383691191,-5.16861360502182
2014-05-23,14.849559541535067,-2.3088745840851224
2014-05-24,19.41426213478934,0.7944306614683718
2014-05-25,26.824106603590728,4.5129557960572795
2014-05-26,33.16262587866395,8.605765807858234
2014-05-27,36.431725876597135,12.58090296053522
2014-05-28,39.25631573965606,16.39167621469534
2014-05-29,40.222699310144655,19.796108085473815
2014-05-30,43.80957488275092,23.22660334222769
2014-05-31,46.80832575126145,26.595420829232516
2014-06-01,49.184333948883925,29.822408417754147
2014-06-02,52.47886608624436,33.05904522753846
2014-06-03,55.32266688778392,36.23956260757353
2014-06-04,53.75357672293203,38.74156462405332
2014-06-05,53.24392451970169,40.81333032343166
2014-06-06,51.46055858399072,42.33436293208295
2014-06-07,50.34464283362335,43.47868863230301
2014-06-08,49.50691330213731,44.339863585136484
2014-06-09,47.699891929133145,44.819867634278864
2014-06-10,46.35215903464217,45.03876640575934
2014-06-11,42.93386459534974,44.7380661471294
2014-06-12,35.70705725008644,43.44792201898041
2014-06-13,30.375821425005007,41.58047907698392
2014-06-14,24.00846490142188,39.07019133761791
2014-06-15,19.91322039435027,36.33348120286539
2014-06-16,16.743082512348664,33.53485281850586
2014-06-17,15.441837433142187,30.95013633488248
2014-06-18,14.270568142674925,28.56734087885283
2014-06-19,12.238528622325262,26.234653413634604
2014-06-20,10.206717505186237,23.94494828385627
2014-06-21,8.630908502437496,21.757228315082163
2014-06-22,7.860933199481177,19.772043298567738
2014-06-23,6.278412270827327,17.84438172317625
2014-06-24,4.071026295948947,15.876759519286638
2014-06-25,0.6141049172803703,13.696380290428602
2014-06-26,-0.5050572062465956,11.667603505189287
2014-06-27,0.4013401655954986,10.058137313818747
2014-06-28,0.5536670885296144,8.700355853063158
2014-06-29,1.2550015607344425,7.636733811301913
2014-06-30,5.14423943117214,7.2806631855690895
2014-07-01,8.482495458545541,7.452353510280012
2014-07-02,11.774551621354325,8.069810383290628
2014-07-03,13.906005556743432,8.903552550926744
2014-07-04,14.010585672466867,9.633128711146762
2014-07-05,14.077341297471657,10.26801622347889
2014-07-06,14.461375760941943,10.867067585973611
2014-07-07,13.523136545941037,11.246506008826103
